data_carga,ANO_Convenio,NR_CONVENIO,SIT_CONVENIO,COD_MUNIC_IBGE,MUNIC_PROPONENTE,UF_PROPONENTE,PROGRAMA,ACAO,MAX_VL_GLOBAL_CONV,SOMA_VALOR_AGREGADO,PERC_EXECUCAO,VALOR_A_EXECUTAR
2026-07-17 06:30:47,2025,988163,Em execução,4306973,EREBANGO,RS,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,640000.0,0.0,0.0,640000.0
2026-07-17 06:30:47,2025,988164,Em execução,4302105,BENTO GONÇALVES,RS,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,832954.55,0.0,0.0,832954.55
2026-07-17 06:30:47,2025,988247,Em execução,2905305,CAFARNAUM,BA,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,1635000.0,0.0,0.0,1635000.0
2026-07-17 06:30:47,2025,988249,Em execução,1100502,NOVO HORIZONTE DO OESTE,RO,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,1437500.0,0.0,0.0,1437500.0
2026-07-17 06:30:47,2025,988277,Em execução,4302659,BROCHIER,RS,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,1009184.55,989976.0,0.9809662662790467,19208.550000000047
2026-07-17 06:30:47,2025,988280,Em execução,2913804,IPECAETÁ,BA,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,960000.0,0.0,0.0,960000.0
2026-07-17 06:30:47,2025,988292,Em execução,2314003,VÁRZEA ALEGRE,CE,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,383000.0,0.0,0.0,383000.0
2026-07-17 06:30:47,2025,988326,Em execução,4313300,NOVA PRATA,RS,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,915859.55,0.0,0.0,915859.55
2026-07-17 06:30:47,2025,988470,Em execução,2801207,CANINDÉ DE SÃO FRANCISCO,SE,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,2872820.0,0.0,0.0,2872820.0
2026-07-17 06:30:47,2025,988499,Em execução,3521200,IPORANGA,SP,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,383000.0,0.0,0.0,383000.0
2026-07-17 06:30:47,2025,988500,Em execução,2211001,TERESINA,PI,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,1333333.33,0.0,0.0,1333333.33
2026-07-17 06:30:47,2025,988501,Em execução,2304301,FARIAS BRITO,CE,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,1340000.0,0.0,0.0,1340000.0
2026-07-17 06:30:47,2025,988502,Em execução,3100203,ABAETÉ,MG,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,400000.0,0.0,0.0,400000.0
2026-07-17 06:30:47,2025,988503,Em execução,4128658,VIRMOND,PR,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,498700.0,461396.0,0.9251975135351915,37304.0
2026-07-17 06:30:47,2025,988504,Em execução,2706109,OURO BRANCO,AL,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,764900.0,0.0,0.0,764900.0
2026-07-17 06:30:47,2025,988514,Em execução,1713304,MIRANORTE,TO,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,500000.0,0.0,0.0,500000.0
2026-07-17 06:30:47,2025,988516,Em execução,2203255,CURRALINHOS,PI,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,956100.0,0.0,0.0,956100.0
2026-07-17 06:30:47,2025,988535,Em execução,2205524,JÚLIO BORGES,PI,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,1446825.0,0.0,0.0,1446825.0
2026-07-17 06:30:47,2025,988536,Em execução,2205524,JÚLIO BORGES,PI,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,1446825.0,0.0,0.0,1446825.0
2026-07-17 06:30:47,2025,988538,Em execução,4108502,GENERAL CARNEIRO,PR,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,299800.0,215384.0,0.7184256170780521,84416.0
2026-07-17 06:30:47,2025,988544,Em execução,2114007,ZÉ DOCA,MA,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,9570527.5,0.0,0.0,9570527.5
2026-07-17 06:30:47,2025,988546,Em execução,2203255,CURRALINHOS,PI,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,956100.0,0.0,0.0,956100.0
2026-07-17 06:30:47,2025,988547,Em execução,2208650,QUEIMADA NOVA,PI,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,956100.0,0.0,0.0,956100.0
2026-07-17 06:30:47,2025,988548,Em execução,2208650,QUEIMADA NOVA,PI,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,956100.0,0.0,0.0,956100.0
2026-07-17 06:30:47,2025,988631,Em execução,2311009,PORANGA,CE,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,4785752.5,0.0,0.0,4785752.5
2026-07-17 06:30:47,2025,988634,Em execução,2211001,TERESINA,PI,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,965000.0,0.0,0.0,965000.0
2026-07-17 06:30:47,2025,988674,Em execução,1501402,BELÉM,PA,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,1177595.9,0.0,0.0,1177595.9
2026-07-17 06:30:47,2025,988678,Em execução,4310801,IVOTI,RS,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,431433.33,0.0,0.0,431433.33
2026-07-17 06:30:47,2025,988682,Em execução,4209300,LAGES,SC,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,519000.0,0.0,0.0,519000.0
2026-07-17 06:30:47,2025,988703,Em execução,2311108,PORTEIRAS,CE,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,4788685.0,0.0,0.0,4788685.0
2026-07-17 06:30:47,2025,988704,Em execução,4321709,TRÊS COROAS,RS,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,768500.0,759278.0,0.988,9222.0
2026-07-17 06:30:47,2025,988771,Em execução,2211001,TERESINA,PI,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,219156457.0,0.0,0.0,219156457.0
2026-07-17 06:30:47,2025,988772,Em execução,2211001,TERESINA,PI,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,45903789.43,0.0,0.0,45903789.43
2026-07-17 06:30:47,2025,988773,Em execução,2211001,TERESINA,PI,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,277483753.57,0.0,0.0,277483753.57
