data_carga,UF_PROPONENTE,COD_MUNIC_IBGE,MUNIC_PROPONENTE,NR_PROPOSTA,DIA_PROPOSTA,MODALIDADE,NR_CONVENIO,ANO_Convenio,DIA_ASSIN_CONV,SIT_CONVENIO,INSTRUMENTO_ATIVO,PROGRAMA,ACAO,VL_GLOBAL_CONV,VL_REPASSE_CONV,VL_CONTRAPARTIDA_CONV,VL_EMPENHADO_CONV,VL_DESEMBOLSADO_CONV,VL_SALDO_REMAN_TESOURO,VL_SALDO_REMAN_CONVENENTE,VL_RENDIMENTO_APLICACAO,VL_INGRESSO_CONTRAPARTIDA,VL_SALDO_CONTA,VALOR_GLOBAL_ORIGINAL_CONV,NOME_FORNECEDOR,IDENTIF_FORNECEDOR,ANO_pgto,CATEGORIA_SUGERIDA,CATEGORIA_ROTAS,Divisao,VALOR_AGREGADO,QTD_AGREGADA,soma_vlr_agregado,UNIDADE_ITEM_INVESTIMENTO_META,MAX_QUANTIDADE_M2,custoM2,MEDIANA_CUSTO_M2,M2_estimado,KM_estimado
2026-06-01 06:52:13,PR,4123824,SANTA LÚCIA,14505/2008,2008-11-27,CONVENIO,700749,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,300000.0,150000.0,150000.0,150000.0,150000.0,29377.24,,,128534.09,0.0,,ROMAC TECNICA DE MAQUINAS E EQUIPAMENTOS LTDA,91595678000110,2010.0,Pá Carregadeira,,Equipamentos,233068.18,1.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,PR,4123824,SANTA LÚCIA,14505/2008,2008-11-27,CONVENIO,700749,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,300000.0,150000.0,150000.0,150000.0,150000.0,29377.24,,,128534.09,0.0,,ROMAC TECNICA DE MAQUINAS E EQUIPAMENTOS LTDA,91595678000110,2011.0,Mobiliário e Equipamentos de Escritório,,Outros,24000.0,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,PR,4125357,SÃO JORGE DO PATROCÍNIO,2121/2008,2008-10-20,CONVENIO,700786,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,103100.0,100000.0,3100.0,100000.0,100000.0,,,,3100.0,0.0,,HEIDEL REFRIGERACAO LTDA - EPP,82450743000128,2010.0,OUTROS / NAO CLASSIFICADO,Produção e Processamento de Laticínios,Outros,29899.98,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,PR,4125357,SÃO JORGE DO PATROCÍNIO,2121/2008,2008-10-20,CONVENIO,700786,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,103100.0,100000.0,3100.0,100000.0,100000.0,,,,3100.0,0.0,,LIDIANE CLIMATIZACAO LTDA - ME,05371106000115,2010.0,Despesas Financeiras / Saldo Remanescente / Aditivo,Produção e Processamento de Laticínios,Outros,3029.98,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,PR,4125357,SÃO JORGE DO PATROCÍNIO,2121/2008,2008-10-20,CONVENIO,700786,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,103100.0,100000.0,3100.0,100000.0,100000.0,,,,3100.0,0.0,,LIDIANE CLIMATIZACAO LTDA - ME,05371106000115,2010.0,Máquinas e equipamentos diversos,Produção e Processamento de Laticínios,Outros,37500.04,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,PR,4125357,SÃO JORGE DO PATROCÍNIO,2121/2008,2008-10-20,CONVENIO,700786,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,103100.0,100000.0,3100.0,100000.0,100000.0,,,,3100.0,0.0,,MAYER ORDENHADEIRAS E CLIMATIZADORES LTDA,08831697000154,2010.0,Máquinas e equipamentos diversos,Produção e Processamento de Laticínios,Outros,32670.0,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RS,4317509,SANTO ÂNGELO,5384/2008,2008-11-05,CONVENIO,700938,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,222230.0,200000.0,22230.0,200000.0,200000.0,70916.72,,,19999.99,,,PIPPI MAQUINAS AGRICOLAS LTDA,88590096000136,2009.0,OUTROS / NAO CLASSIFICADO,,Outros,4290.0,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RS,4317509,SANTO ÂNGELO,5384/2008,2008-11-05,CONVENIO,700938,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,222230.0,200000.0,22230.0,200000.0,200000.0,70916.72,,,19999.99,,,CHIUMENTO IMPLEMENTOS AGRICOLAS EIRELI,05739830000159,2010.0,Carreta agrícola,,Equipamentos,4180.0,1.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RS,4317509,SANTO ÂNGELO,5384/2008,2008-11-05,CONVENIO,700938,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,222230.0,200000.0,22230.0,200000.0,200000.0,70916.72,,,19999.99,,,CHIUMENTO IMPLEMENTOS AGRICOLAS EIRELI,05739830000159,2010.0,OUTROS / NAO CLASSIFICADO,,Outros,1299.0,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RS,4317509,SANTO ÂNGELO,5384/2008,2008-11-05,CONVENIO,700938,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,222230.0,200000.0,22230.0,200000.0,200000.0,70916.72,,,19999.99,,,CHIUMENTO IMPLEMENTOS AGRICOLAS EIRELI,05739830000159,2010.0,Plantadeira/Adubadeira,,Equipamentos,12100.0,1.0,,,,,97.08365950681366,,
